,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
248,Minority Report,2002,80.0,7.6,80.0,516349,132.07
249,500 Days of Summer,2009,76.0,7.7,76.0,479854,32.39
250,Spotlight,2015,93.0,8.1,93.0,431785,45.06
251,Hachi: A Dog's Tale,2009,,8.1,,260492,
252,Trainspotting,1996,83.0,8.1,83.0,644322,16.5
253,Serenity,2005,74.0,7.8,74.0,286066,25.51
254,Harry Potter and the Deathly Hallows: Part 1,2010,65.0,7.7,65.0,490987,295.98
255,The Bourne Identity,2002,68.0,7.9,68.0,516259,121.66
256,Portrait of a Lady on Fire,2019,95.0,8.1,95.0,71594,3.76
257,The Peanut Butter Falcon,2019,70.0,7.6,70.0,71953,13.12
258,Cast Away,2000,73.0,7.8,73.0,537772,233.63
259,Airplane!,1980,78.0,7.7,78.0,219334,83.4
260,Office Space,1999,68.0,7.7,68.0,246555,10.82
261,What's Eating Gilbert Grape,1993,73.0,7.7,73.0,219441,9.17
262,Stagecoach,1939,93.0,7.9,93.0,44850,
263,V for Vendetta,2005,62.0,8.1,62.0,1050116,70.51
264,A Few Good Men,1992,62.0,7.7,62.0,240634,141.34
265,Blue Is the Warmest Colour,2013,89.0,7.7,89.0,141515,2.2
266,Scent of a Woman,1992,59.0,8.0,59.0,271642,63.9
267,The Godfather: Part III,1990,60.0,7.6,60.0,368285,66.67
268,Amadeus,1984,88.0,8.3,88.0,375481,51.97
269,Training Day,2001,69.0,7.7,69.0,400681,76.63
270,The Sound of Music,1965,63.0,8.0,63.0,210968,163.21
271,"Monsters, Inc.",2001,79.0,8.1,79.0,831908,289.92
272,The Wizard of Oz,1939,92.0,8.0,92.0,374904,2.08
273,The Sting,1973,83.0,8.3,83.0,245836,159.6
274,The Blues Brothers,1980,60.0,7.9,60.0,186520,57.23
275,Star Wars: Episode VI - Return of the Jedi,1983,58.0,8.3,58.0,967794,309.13
276,12 Years a Slave,2013,96.0,8.1,96.0,653612,56.67
277,Boyhood,2014,100.0,7.9,100.0,339841,25.38
278,Finding Nemo,2003,90.0,8.1,90.0,966340,380.84
279,Harry Potter and the Half-Blood Prince,2009,78.0,7.6,78.0,487700,301.96
280,Toy Story,1995,95.0,8.3,95.0,906518,191.8
281,The Blind Side,2009,53.0,7.6,53.0,300200,255.96
282,E.T. the Extra-Terrestrial,1982,91.0,7.8,91.0,378945,435.11
283,The Last Picture Show,1971,93.0,8.0,93.0,43693,29.13
284,Capernaum,2018,75.0,8.4,75.0,69590,1.66
285,Home Alone,1990,63.0,7.6,63.0,497485,285.76
286,Unforgiven,1992,85.0,8.2,85.0,383066,101.16
287,Apocalypto,2006,68.0,7.8,68.0,295353,50.87
288,The Hobbit: The Desolation of Smaug,2013,66.0,7.8,66.0,611309,258.37
289,The Pursuit of Happyness,2006,64.0,8.0,64.0,460662,163.57
290,Birdman or (The Unexpected Virtue of Ignorance),2014,87.0,7.7,87.0,590939,42.34
291,Indiana Jones and the Last Crusade,1989,65.0,8.2,65.0,703380,197.17
292,Warrior,2011,71.0,8.1,71.0,443016,13.66
293,Inside Man,2006,76.0,7.6,76.0,347770,88.51
294,3 Idiots,2009,67.0,8.4,67.0,356637,6.53
295,The Thing,1982,57.0,8.1,57.0,379370,13.78
296,Casablanca,1942,100.0,8.5,100.0,531227,1.02
297,Incredibles 2,2018,80.0,7.6,80.0,259426,608.58
298,Children of Men,2006,84.0,7.9,84.0,471956,35.55
299,Incendies,2010,80.0,8.3,80.0,155880,6.86
300,Howl's Moving Castle,2004,80.0,8.2,80.0,346022,4.71
301,Rocky,1976,70.0,8.1,70.0,529265,117.24
302,Mulan,1998,71.0,7.6,71.0,262628,120.62
303,Coraline,2009,80.0,7.7,80.0,202372,75.29
304,12 Monkeys,1995,74.0,8.0,74.0,586790,57.14
305,Gone with the Wind,1939,97.0,8.1,97.0,294966,198.68
306,Inherit the Wind,1960,75.0,8.1,75.0,27966,
307,Sherlock Holmes,2009,57.0,7.6,57.0,592077,209.03
308,Downfall,2004,82.0,8.2,82.0,336569,5.51
309,Little Miss Sunshine,2006,80.0,7.8,80.0,447340,59.89
310,Once Upon a Time in the West,1968,80.0,8.5,80.0,308242,5.32
311,Hell or High Water,2016,88.0,7.6,88.0,209244,26.86
312,The Untouchables,1987,79.0,7.9,79.0,287601,76.27
